time;lane_ids;laneDensity;inflow;outflow
28800;175_0;3.01;120;120
28800;175_1;1.54;60;60
28800;18_0;1.65;72;36
28800;18_1;1.73;48;60
28800;181[1][1][0].32.3_0;;0;0
28800;181[1][1][0].32.3_1;1.39;336;0
28800;181[1][1][0].32.3_2;9.73;132;168
28800;181[1][1][0].32.3_3;10.55;264;540
28800;181[1][1][1][0]_0;;0;0
28800;181[1][1][1][0]_1;;0;0
28800;181[1][1][1][0]_2;0.32;12;12
28800;181[1][1][1][0]_3;12.42;432;432
28800;181[1][1][1][1][0]_0;;0;0
28800;181[1][1][1][1][0]_1;;0;0
28800;181[1][1][1][1][0]_2;0.41;12;12
28800;181[1][1][1][1][0]_3;12;432;432
28800;181[1][1][1][1][1][0]_0;;0;0
28800;181[1][1][1][1][1][0]_1;;0;0
28800;181[1][1][1][1][1][0]_2;0.32;12;12
28800;181[1][1][1][1][1][0]_3;0.67;24;24
28800;181[1][1][1][1][1][0].76_0;;0;0
28800;181[1][1][1][1][1][0].76_1;63.43;312;276
28800;181[1][1][1][1][1][0].76_2;16.81;288;156
28800;181[1][1][1][1][1][0].76_3;16.06;672;684
28800;182_0;7.26;192;180
28800;182_1;5.56;144;144
28800;183.8_0;0.3;12;12
28800;183.8_1;0.92;36;36
28800;184_0;2.07;0;72
28800;184_1;4.81;360;180
28800;185_0;;0;0
28800;186_0;;0;0
28800;186_1;;0;0
28800;187_0;;0;0
28800;19_0;;0;0
28800;19_1;;0;0
28800;2_0;1.61;96;60
28800;2_1;2.27;60;96
28800;20_0;3.09;36;144
28800;20_1;1.38;144;36
28800;21_0;;0;0
28800;21_1;;0;0
28800;22_0;1.87;72;60
28800;22_1;;0;0
28800;24_0;;0;0
28800;24_1;;0;0
28800;25[0]_0;0.84;36;36
28800;25[0]_1;;0;0
28800;25[1]_0;0.48;36;12
28800;25[1]_1;0.17;0;12
28800;26_0;7.82;144;120
28800;26_1;23.41;636;216
28800;27_0;0.01;12;0
28800;27_1;0.03;0;0
28800;28_0;7.16;108;180
28800;28_1;10.47;456;240
28800;29_0;2.84;96;84
28800;29_1;0.2;0;12
28800;30_0;15.56;300;264
28800;30_1;8.15;120;156
28800;31_0;1.22;84;36
28800;31_1;1.07;24;36
28800;32_0;11;192;288
28800;32_1;11.3;660;288
28800;33_0;4.5;204;84
28800;33_1;1.03;0;84
28800;34_0;17.13;480;276
28800;34_1;12.43;360;276
28800;35_0;3.44;72;180
28800;35_1;13.27;240;372
28800;35_2;1.92;132;0
28800;35_3;7.82;324;312
28800;35_4;4;348;156
28800;37[0]_0;2.42;84;96
28800;37[0]_1;2.16;108;96
28800;38.9_0;19.02;552;408
28800;38.9_1;14.62;348;384
28800;39.68_0;7.48;324;300
28800;39.68_1;2.93;144;120
28800;3[0]_0;13.92;324;588
28800;3[0]_1;10.65;456;372
28800;3[0]_2;5.72;612;168
28800;3[1]_0;7.37;240;312
28800;3[1]_1;4.65;360;192
28800;3[1]_2;4.48;168;216
28800;4_0;4.55;144;132
28800;4_1;1.73;36;60
28800;4_2;5.2;216;192
28800;40_0;5.7;12;216
28800;40_1;9.56;456;168
28800;40_2;9.7;312;180
28800;40_3;4.67;96;132
28800;41.3_0;9.2;396;372
28800;41.3_1;5.49;228;240
28800;41.3_2;11.38;468;468
28800;41.3_3;2.81;132;108
28800;42.0_0;16.62;360;240
28800;42.0_1;9.98;216;192
28800;42.0_2;4.21;24;108
28800;42.0_3;0.12;0;12
28800;43[0].45_0;0.93;48;24
28800;43[0].45_1;0.47;24;24
28800;44_0;8.28;156;144
28800;44_1;0.62;0;36
28800;44_2;1.9;96;60
28800;45[0].5_0;6.32;336;180
28800;45[0].5_1;2.65;96;156
28800;45[1]_0;3.57;180;120
28800;45[1]_1;2.76;156;132
28800;46_0;3.25;108;144
28800;46_1;1.34;96;24
28800;47_0;1.63;84;60
28800;47_1;0.49;0;24
28800;48_0;1.33;48;48
28800;48_1;1.75;84;60
28800;48_2;;0;0
28800;49[0]_0;0.12;12;0
28800;49[0]_1;1.1;36;48
28800;49[0]_2;0.29;24;12
28800;49[1]_0;0.31;12;0
28800;49[1]_1;0.45;48;12
28800;49[1]_2;0.59;12;36
28800;5_0;3.43;132;96
28800;5_1;6.03;192;216
28800;50[0].15_0;1.29;12;72
28800;50[0].15_1;0.49;84;0
28800;50[1]_0;1.57;60;60
28800;50[1]_1;;0;0
28800;51_0;6.45;216;168
28800;51_1;0.43;0;12
28800;52_0;5.32;0;132
28800;52_1;4.71;288;108
28800;52_2;3.04;120;72
28800;53.4_0;10.19;324;456
28800;53.4_1;9.07;540;336
28800;53.4_2;1.94;96;96
28800;54[0]_0;1.82;72;72
28800;54[0]_1;0.36;24;24
28800;54[1]_0;1.26;60;36
