,0
4.694588179061064,103.69669530016112
10.020684739572564,179.74603985401995
12.832633351656032,176.50575117240973
15.251490586326176,175.80364638177502
16.770327275968032,146.0026353621212
18.011234579826887,121.5626228970859
19.542295630837536,88.34266197293866
20.353681159314085,83.95353963046894
21.32869495219887,70.36843660401928
22.61113951822992,60.343355804091836
23.421386236513253,50.80143000993187
24.115573107523137,55.90350154452187
24.658460980072363,59.05802282644673
25.277048250124892,60.69258554683903
25.93318215041596,61.10550719505888
26.24831052338491,68.70077185725131
26.676106431156775,66.10717717486898
27.25329857124607,60.11701851183377
27.59846969184022,58.504536668826795
27.885077135631672,56.74546564892794
28.075406558139864,51.945801917785104
28.652709723176276,52.67097898678507
29.28773156016601,55.965950834287
29.91053107690664,56.83597921257932
