begin;laneDensity;lane_ids;inflow;outflow
29100;36.38;32_0;300;432
29100;35.9;32_1;876;516
29100;8.35;33_0;288;108
29100;3.48;33_1;60;240
29100;37.59;34_0;540;396
29100;29.58;34_1;492;504
29100;10.38;35_0;168;348
29100;31.43;35_1;324;456
29100;5.53;35_2;48;0
29100;9.97;35_3;456;432
29100;3.5;35_4;372;96
29100;3.08;37[0]_0;72;168
29100;5.49;37[0]_1;312;180
29100;37.25;38.9_0;624;516
29100;35.93;38.9_1;384;504
29100;10.57;39.68_0;444;456
29100;2.11;39.68_1;84;96
29100;14.85;3[0]_0;324;708
29100;10.24;3[0]_1;432;516
29100;4.3;3[0]_2;480;108
29100;10.19;3[1]_0;360;372
29100;6.87;3[1]_1;504;300
29100;4.49;3[1]_2;108;264
29100;1.22;4_0;36;48
29100;1.7;4_1;72;72
29100;7.37;4_2;264;240
29100;13.5;40_0;48;384
29100;25.79;40_1;684;468
29100;17.56;40_2;696;384
29100;10.19;40_3;252;384
29100;26.45;41.3_0;684;612
29100;18.62;41.3_1;528;576
29100;18.66;41.3_2;768;792
29100;8.22;41.3_3;384;348
29100;65.83;42.0_0;540;276
29100;52.64;42.0_1;576;336
29100;41.61;42.0_2;276;372
29100;36.31;42.0_3;264;348
29100;11.74;43[0].45_0;564;432
29100;5.21;43[0].45_1;192;252
29100;38.29;44_0;264;240
29100;3.82;44_1;12;48
29100;8.85;44_2;120;72
29100;16.23;45[0].5_0;684;588
29100;9.48;45[0].5_1;396;480
29100;13.09;45[1]_0;600;528
29100;10.61;45[1]_1;468;480
29100;15.89;46_0;528;660
29100;2.92;46_1;252;48
29100;9.98;47_0;504;384
29100;2.32;47_1;0;120
29100;10.11;48_0;384;408
29100;5.52;48_1;216;216
29100;;48_2;0;0
29100;1.53;49[0]_0;48;60
29100;2.53;49[0]_1;108;96
29100;0.94;49[0]_2;48;48
29100;1.33;49[1]_0;84;48
29100;2.18;49[1]_1;96;84
29100;1.49;49[1]_2;48;84
29100;7.99;5_0;192;192
29100;23.5;5_1;336;324
29100;3.16;50[0].15_0;48;156
29100;0.71;50[0].15_1;132;0
29100;3.18;50[1]_0;120;108
29100;;50[1]_1;0;0
29100;8.84;51_0;240;216
29100;0.34;51_1;0;12
29100;14.49;52_0;12;192
29100;9.75;52_1;432;240
29100;3.57;52_2;72;96
29100;13.89;53.4_0;504;672
29100;16.34;53.4_1;828;660
29100;6.14;53.4_2;276;300
29100;9.16;54[0]_0;444;372
29100;2.42;54[0]_1;96;108
29100;9.26;54[1]_0;360;312
29100;3.15;54[1]_1;108;144
29100;4.56;55[0]_0;168;252
29100;7.21;55[0]_1;324;276
29100;1.76;55[0]_2;96;72
29100;0.62;55[1]_0;276;0
29100;9.82;55[1]_1;276;444
29100;2.78;55[1]_2;84;96
29100;2.49;56.0.16_0;72;132
29100;1.8;56.0.16_1;120;60
29100;2.63;57_0;48;72
29100;9.21;57_1;180;144
29100;8.18;58_0;264;192
29100;2.25;58_1;72;120
29100;0.64;59_0;180;12
29100;3.12;59_1;132;48
29100;6.71;59_2;24;252
29100;7.59;6_0;324;216
29100;7.67;6_1;300;384
29100;5.24;6_2;168;276
29100;2.52;6_3;144;120
29100;2.8;6_4;144;96
29100;27.76;60_0;216;240
29100;1.86;61_0;48;120
29100;1.85;61_1;108;36
29100;0.5;62_0;24;24
29100;2.01;63_0;48;24
29100;;64_0;0;0
29100;0.77;66.10_0;24;36
29100;0.25;66.10_1;12;12
29100;3.37;67.1_0;156;108
29100;0.78;67.1_1;24;60
29100;1.61;68_0;72;72
29100;0.36;68_1;24;24
29100;1.73;69_0;72;72
29100;0.59;69_1;24;24
29100;8.01;7.0.20_0;228;252
29100;5.11;7.0.20_1;0;240
29100;5.44;7.0.20_2;96;108
29100;17.02;7.0.20_3;360;24
29100;41.68;7.0.20_4;144;72
29100;2.17;70_0;96;84
29100;1.79;71_0;48;48
29100;3.51;72_0;156;156
29100;3.15;73_0;72;192
29100;1.22;73_1;120;12
29100;0.1;74_0;0;0
29100;0.08;74_1;0;12
29100;4.24;75_0;144;240
29100;3.16;75_1;180;96
29100;;75_2;0;0
29100;4.21;76_0;60;120
29100;2.21;76_1;240;168
29100;5.14;77_0;144;156
29100;1.42;77_1;48;48
29100;0.82;78_0;48;12
29100;13.1;78_1;420;468
29100;4.12;79_0;168;204
29100;1.68;79_1;108;60
29100;2.54;8.0.2.13_0;204;24
29100;7.47;8.0.2.13_1;420;192
29100;10.66;8.0.2.13_2;264;528
29100;5.39;8.0.2.13_3;252;372
29100;2.28;80_0;132;60
29100;13.59;80_1;312;372
29100;2.07;81_0;12;120
29100;3.05;81_1;228;108
29100;1.47;81_2;48;60
29100;5.7;82_0;120;168
29100;2.66;82_1;96;60
29100;1.59;82_2;60;36
29100;0.33;83_0;24;12
29100;6.11;83_1;312;156
29100;4.98;83_2;132;312
29100;0.94;84_0;276;24
29100;7.26;84_1;96;300
29100;1.73;84_2;84;144
29100;10.11;85_0;216;240
29100;5.31;85_1;132;168
29100;2.93;85_2;132;48
29100;3.89;86[0]_0;156;192
29100;2.89;86[0]_1;156;120
29100;2.73;86[0]_2;108;120
29100;10.35;86[1][1]_0;192;156
29100;8.62;86[1][1]_1;120;168
29100;7.06;86[1][1]_2;120;204
29100;8.7;87_0;240;240
29100;2.65;87_1;84;108
29100;2.05;88_0;60;60
29100;0.22;88_1;12;12
29100;0.21;9_0;36;0
29100;7.22;9_1;168;36
29100;32.48;9_2;540;324
29100;52.34;9_3;372;408
29100;4.39;90_0;180;180
29100;1.59;90_1;132;60
29100;5.07;91_0;120;192
29100;4.29;91_1;180;168
29100;4.06;92_0;264;156
29100;5.05;92_1;132;240
29100;0.11;93_0;48;0
29100;3.01;93_1;84;120
29100;4.1;93_2;168;180
29100;14.69;94_0;156;168
29100;9;94_1;108;96
29100;20.48;94_2;132;156
29100;0.8;95_0;36;36
29100;;95_1;0;0
29100;1.15;96_0;36;24
29100;0.21;96_1;0;12
29100;1.75;97_0;72;84
29100;;97_1;0;0
29100;1.36;98_0;120;48
29100;2.79;98_1;0;72
29100;1.45;99_0;60;60
29100;19.76;E0_0;1296;228
29100;51.26;E0_1;0;408
29100;50.82;E0_2;0;564
29100;14.02;E0.221_0;372;396
29100;10.35;E0.221_1;300;264
29100;7.66;E1_0;336;336
29100;1.17;E1_1;60;72
29100;4.8;E10_0;204;204
29100;;E10_1;0;0
29100;21.7;E11_0;96;96
29100;;E11_1;0;0
29100;;E12_0;0;0
29100;;E12_1;0;0
29100;6.21;E13_0;204;204
29100;3.26;E13_1;108;96
29100;3;E15_0;48;48
29100;11.92;E18_0;408;420
29100;2.36;E18_1;96;84
29100;20.06;E19_0;672;684
29100;21.96;E19_1;696;696
29100;5.53;E19_2;252;240
29100;12.29;E2_0;732;468
29100;2.88;E2_1;0;180
29100;10.68;E2.444_0;468;468
29100;7.01;E2.444_1;348;312
29100;0.38;E20_0;12;12
29100;2.26;E21_0;48;48
29100;24.91;E3_0;1968;1080
29100;21.78;E3_1;0;948
29100;3.24;E4.10_0;132;132
29100;10.11;E4.24_0;168;156
29100;11.05;E5_0;300;240
29100;1.35;E5_1;0;60
29100;55.41;E6_0;216;216
29100;234.19;E6_1;384;384
29100;122.87;E6_2;264;264
29100;0.81;E7.29_0;48;36
29100;2.68;E7.9_0;96;96
29100;;E8_0;0;0
29100;2.18;E8_1;96;96
29100;2.31;E8.39_0;96;108
29100;164.05;gneE10_0;36;72
29100;127.74;gneE10_1;264;228
29100;56.81;gneE10_2;636;624
29100;38.07;gneE126_0;336;312
29100;55.06;gneE126_1;456;432
29100;;gneE138_0;0;0
29100;11.46;gneE138_1;432;444
29100;2.25;gneE138_2;96;84
29100;18.83;gneE140_0;384;324
29100;10.29;gneE140_1;228;228
29100;17.71;gneE141_0;768;696
29100;7.89;gneE141_1;360;396
29100;35.79;gneE142_0;612;552
29100;32.79;gneE142_1;576;576
29100;20.7;gneE143_0;408;384
29100;8.83;gneE143_1;204;228
29100;1.64;gneE144_0;72;72
29100;0.92;gneE147_0;12;12
29100;6.94;gneE148_0;240;264
29100;1.45;gneE148_1;84;60
29100;;gneE148_2;0;0
29100;36.9;gneE150_0;276;300
29100;14.46;gneE150_1;168;144
29100;27.79;gneE151_0;300;276
29100;23.07;gneE151_1;144;156
29100;4.48;gneE153_0;12;12
29100;20.24;gneE153_1;696;660
29100;11.11;gneE153_2;384;432
29100;33.3;gneE154_0;672;684
29100;16.71;gneE154_1;420;408
29100;0.28;gneE155_0;12;12
29100;0.34;gneE156_0;12;12
29100;;gneE157_0;0;0
29100;32.24;gneE158_0;12;12
29100;9.09;gneE159_0;336;336
29100;2.06;gneE159_1;84;84
29100;0.26;gneE159_2;12;12
29100;;gneE159_3;0;0
29100;1.22;gneE160_0;48;24
29100;18.72;gneE160_1;612;624
29100;2.77;gneE160_2;108;120
29100;3.76;gneE160_3;156;156
29100;20.07;gneE188_0;168;156
29100;3.7;gneE188_1;36;48
29100;0.3;gneE190_0;12;12
29100;;gneE190_1;0;0
29100;11.8;gneE199_0;156;132
29100;4.05;gneE199_1;24;48
29100;7.39;gneE202_0;168;168
29100;3.23;gneE202_1;48;60
29100;3.66;gneE203_0;132;132
29100;1.59;gneE205_0;48;48
29100;0.38;gneE208_0;12;12
29100;;gneE208_1;0;0
29100;0.27;gneE22_0;12;12
29100;97.32;gneE22_1;252;396
29100;11.9;gneE22_2;180;36
29100;13.05;gneE22_3;528;540
29100;3.94;gneE224_0;96;96
29100;15.38;gneE226_0;120;108
29100;11;gneE226_1;120;120
29100;;gneE226_2;0;0
29100;2.9;gneE227_0;132;120
29100;3.88;gneE228_0;180;168
29100;0.55;gneE23_0;24;24
29100;;gneE23_1;0;0
29100;1.3;gneE230_0;60;60
29100;3.38;gneE231_0;132;144
29100;1.62;gneE231_1;72;72
29100;5.93;gneE233_0;168;156
29100;3.81;gneE251_0;60;96
29100;3.01;gneE251_1;108;36
29100;3.69;gneE257_0;192;84
29100;6.09;gneE257_1;144;252
29100;38.37;gneE258_0;156;168
29100;8.89;gneE258_1;48;48
29100;1.02;gneE271_0;36;36
29100;0.11;gneE393_0;12;0
29100;12.33;gneE393_1;468;492
29100;;gneE394_0;0;0
29100;5.11;gneE394_1;204;192
29100;;gneE396_0;0;0
29100;3.55;gneE396_1;144;156
29100;4.33;gneE397_0;156;156
29100;0.84;gneE397_1;36;36
29100;0.56;gneE401_0;12;12
29100;90.07;gneE401_1;384;432
29100;2.43;gneE401_2;36;0
29100;2.8;gneE401_3;24;24
29400;5.67;1_0;240;216
29400;2.33;1_1;72;108
29400;9.69;10_0;216;144
29400;4.53;10_1;108;168
29400;2.78;100_0;108;120
29400;0.98;101_0;24;36
29400;1.23;102_0;48;48
29400;2.63;103[0]_0;72;144
29400;3.15;103[0]_1;168;96
29400;3.31;103[1].2_0;180;144
29400;2.23;103[1].2_1;84;108
29400;4.2;104.5_0;156;180
29400;2.47;104.5_1;132;132
29400;8.26;105_0;144;144
29400;7.95;105_1;120;120
29400;1.34;106_0;60;60
29400;3.7;107_0;132;120
29400;1.38;107_1;48;48
29400;12.02;108_0;72;72
29400;7.94;108_1;48;48
29400;2.53;109_0;96;96
29400;0.99;109_1;36;36
29400;6.3;11_0;84;96
29400;15.39;11_1;228;228
29400;3.75;110_0;144;108
29400;0.82;110_1;36;60
29400;3.52;111_0;144;132
29400;0.81;111_1;24;48
29400;2.06;112[0]_0;48;108
29400;0.2;112[0]_1;60;0
29400;;112[1]_0;0;0
29400;;112[1]_1;0;0
29400;4.2;113[0]_0;168;168
29400;1.15;113[0]_1;48;48
29400;1.81;113[0]_2;60;72
29400;7.66;113[1][0]_0;276;240
29400;1.39;113[1][0]_1;48;120
29400;0.62;113[1][0]_2;72;24
29400;5.45;114_0;180;192
29400;4.25;114_1;228;180
29400;4.24;115_0;84;84
29400;1.88;115_1;72;84
29400;27.92;116_0;936;252
29400;41.73;116_1;0;192
29400;66.43;116_2;0;108
29400;83.48;116_3;0;0
29400;116.53;116_4;0;36
29400;7.29;117_0;324;372
29400;4.32;117_1;204;192
29400;;117_2;0;0
29400;0.87;117_3;0;132
29400;8.13;117_4;420;264
29400;60.49;118_0;708;276
29400;83.57;118_1;0;420
29400;1.79;119_0;96;72
29400;0.13;119_1;0;24
29400;3.64;12_0;168;120
29400;1.26;12_1;36;84
29400;1.01;12_2;72;24
29400;4.59;12_3;24;96
29400;3.06;120.0.24_0;60;168
29400;0.64;120.0.24_1;96;12
29400;18.1;121_0;612;48
29400;44.82;121_1;0;504
29400;2.18;122[0]_0;0;240
29400;3.98;122[0]_1;0;324
29400;10.38;122[0]_2;768;180
29400;8.91;122[1]_0;240;564
29400;15.75;122[1]_1;780;696
29400;10.29;122[1]_2;588;372
29400;83.09;123_0;840;84
29400;78.78;123_1;0;156
29400;75.35;123_2;0;444
29400;;125_0;0;0
29400;;125_1;0;0
29400;1.42;126_0;48;48
29400;6.66;127_0;204;312
29400;7.29;127_1;192;300
29400;7.92;127_2;396;192
29400;2.86;128_0;132;132
29400;4.03;128_1;180;192
29400;31.14;129_0;552;192
29400;113.41;129_1;0;252
29400;1.39;13.1_0;0;168
29400;1.3;13.1_1;0;24
29400;1.67;13.1_2;0;84
29400;1.92;13.1_3;300;24
29400;1.17;130_0;48;60
29400;5.52;130_1;240;228
29400;33.8;131_0;552;168
29400;95.66;131_1;0;300
29400;45.05;132_0;648;336
29400;75.62;132_1;0;348
29400;;133_0;0;0
29400;1.37;133_1;60;60
29400;3.47;134.7_0;36;132
29400;1.62;134.7_1;60;48
29400;5.96;134.7_2;252;96
29400;5.57;135.7_0;204;324
29400;3.07;135.7_1;192;84
29400;0.22;135.7_2;12;12
29400;11.93;136_0;1284;216
29400;31.6;136_1;0;1056
29400;;137.5_0;0;0
29400;;137.5_1;0;0
29400;10.63;138_0;408;396
29400;2.35;139_0;84;120
29400;;14.3_0;0;0
29400;1.46;14.3_1;48;48
29400;7.56;140_0;288;432
29400;5.39;140_1;276;252
29400;8.43;140_2;312;408
29400;12.7;140_3;636;504
29400;75.26;141_0;804;300
29400;59.77;141_1;0;552
29400;8.86;142_0;840;192
29400;20.97;142_1;0;348
29400;13.46;142_2;0;336
29400;6.19;143.4_0;24;204
29400;2.75;143.4_1;252;48
29400;1.28;143.4_2;60;60
29400;0.42;144_0;12;24
29400;0.38;144_1;36;12
29400;6.89;144_2;300;276
29400;8.63;144.283_0;144;288
29400;10.29;144.283_1;348;336
29400;5.64;144.283_2;276;276
29400;3.04;144.312_0;120;132
29400;3.79;144.312_1;156;132
29400;;144.312_2;0;0
29400;67.84;145_0;552;432
29400;3.03;145_1;0;72
29400;0.49;145_2;0;36
29400;6.75;146_0;204;192
29400;13.23;146_1;240;252
29400;41.49;147_0;1068;468
29400;61.68;147_1;0;372
29400;93.39;147_2;0;180
29400;9.53;148_0;384;432
29400;3.51;148_1;204;180
29400;0.26;148_2;12;12
29400;37.77;149_0;492;288
29400;56.49;149_1;336;156
29400;82.93;149_2;276;300
29400;1.84;15_0;48;60
29400;0.27;15_1;24;0
29400;9.19;150_0;360;252
29400;1.69;150_1;24;156
29400;0.22;150_2;12;12
29400;42.44;151_0;252;288
29400;59.34;151_1;372;72
29400;77.25;151_2;264;324
29400;85.41;151_3;96;84
29400;9.13;152_0;264;324
29400;1.34;152_1;108;36
29400;0.02;152_2;0;24
29400;;152_3;0;0
29400;5.3;153_0;288;24
29400;12.86;153_1;312;672
29400;9.33;153_2;516;480
29400;6.98;154.7_0;276;300
29400;1.66;154.7_1;84;84
29400;0.03;154.7_2;12;0
29400;0.26;155[0].4_0;12;12
29400;37.45;155[0].4_1;696;396
29400;20.59;155[0].4_2;276;480
29400;13.74;155[0].4_3;228;468
29400;;155[1]_0;0;0
29400;34.68;155[1]_1;600;576
29400;16.43;155[1]_2;480;516
29400;10.97;155[1]_3;432;396
29400;20.34;156[0]_0;216;216
29400;11.77;156[0]_1;108;144
29400;3.08;156[0]_2;48;36
29400;;156[0]_3;0;0
29400;6.8;156[1]_0;228;276
29400;2.55;156[1]_1;132;120
29400;0.82;156[1]_2;36;12
29400;0.18;156[1]_3;24;0
29400;27.16;157_0;564;1056
29400;6;157_1;492;36
29400;7.16;157_2;396;300
29400;3.29;158_0;0;216
29400;4.42;158_1;264;108
29400;1.16;158_2;72;48
29400;4.52;16_0;60;72
29400;1.49;16_1;72;60
29400;46.47;161_0;360;360
29400;6.54;161_1;252;252
29400;15.37;163_0;132;108
29400;0.64;164_0;24;36
29400;8.52;165_0;252;180
29400;1.62;165_1;0;24
29400;0.26;166_0;12;12
29400;;166_1;0;0
29400;123.54;167_0;156;132
29400;23.95;167_1;84;120
29400;37.98;168_0;192;180
29400;34.51;168_1;144;168
29400;1.75;17_0;72;36
29400;1;17_1;60;96
29400;1.66;172_0;60;60
29400;23.63;173_0;180;192
29400;15.16;173_1;132;132
29400;1.38;175_0;60;72
29400;2.61;175_1;96;84
29400;4.5;18_0;60;96
29400;6.93;18_1;228;168
29400;0.25;181[1][1][0].32.3_0;12;12
29400;1.72;181[1][1][0].32.3_1;420;0
29400;14.26;181[1][1][0].32.3_2;144;204
29400;21.84;181[1][1][0].32.3_3;600;972
29400;0.31;181[1][1][1][0]_0;12;12
29400;;181[1][1][1][0]_1;0;0
29400;1.11;181[1][1][1][0]_2;12;12
29400;25.6;181[1][1][1][0]_3;792;792
29400;0.3;181[1][1][1][1][0]_0;12;12
29400;;181[1][1][1][1][0]_1;0;0
29400;6.67;181[1][1][1][1][0]_2;12;12
29400;24.15;181[1][1][1][1][0]_3;792;780
29400;0.31;181[1][1][1][1][1][0]_0;12;12
29400;;181[1][1][1][1][1][0]_1;0;0
29400;2.64;181[1][1][1][1][1][0]_2;12;12
29400;0.97;181[1][1][1][1][1][0]_3;24;24
29400;;181[1][1][1][1][1][0].76_0;0;0
29400;94.46;181[1][1][1][1][1][0].76_1;72;132
29400;67.37;181[1][1][1][1][1][0].76_2;180;216
29400;31.78;181[1][1][1][1][1][0].76_3;408;312
29400;30.05;182_0;612;456
29400;23.53;182_1;204;408
29400;7.1;183.8_0;168;156
29400;9.08;183.8_1;180;216
29400;1.36;184_0;0;60
29400;4.58;184_1;276;180
29400;1.43;185_0;36;36
29400;0.81;186_0;48;36
29400;1.78;186_1;60;60
29400;1.35;187_0;60;60
29400;;19_0;0;0
29400;;19_1;0;0
29400;2.23;2_0;228;84
29400;6.61;2_1;96;228
29400;6.5;20_0;60;228
29400;4.74;20_1;336;144
29400;;21_0;0;0
29400;;21_1;0;0
29400;67.97;22_0;276;348
29400;10.45;22_1;240;216
29400;;24_0;0;0
29400;;24_1;0;0
29400;1.73;25[0]_0;60;60
29400;0.55;25[0]_1;24;24
29400;1.87;25[1]_0;60;36
29400;3.47;25[1]_1;84;144
29400;68.88;26_0;168;60
29400;102.45;26_1;372;240
29400;2.87;27_0;36;96
29400;1.3;27_1;108;72
29400;63.78;28_0;144;192
29400;71.28;28_1;444;216
29400;8.15;29_0;252;168
29400;2.79;29_1;48;84
29400;61.71;30_0;396;384
29400;21.21;30_1;288;288
29400;4.54;31_0;156;144
29400;4.61;31_1;156;192
29400;57.38;32_0;276;312
29400;56.14;32_1;648;480
29400;7.45;33_0;336;144
29400;3.87;33_1;36;180
29400;54.73;34_0;576;396
29400;50.89;34_1;420;432
29400;25.52;35_0;132;348
29400;71.35;35_1;228;408
29400;21.92;35_2;72;0
29400;12.79;35_3;396;324
29400;6.75;35_4;564;120
29400;4.2;37[0]_0;132;192
29400;5.84;37[0]_1;276;252
29400;33.04;38.9_0;672;396
29400;29.17;38.9_1;384;432
29400;7.26;39.68_0;348;336
29400;2.21;39.68_1;96;96
29400;12.7;3[0]_0;252;612
29400;10.23;3[0]_1;444;456
29400;3.31;3[0]_2;480;108
29400;8.73;3[1]_0;336;324
29400;8.18;3[1]_1;444;348
29400;4.85;3[1]_2;108;240
29400;6.38;4_0;120;60
29400;4.47;4_1;108;132
29400;18.48;4_2;240;264
29400;28.17;40_0;24;252
29400;48.46;40_1;516;276
29400;37.81;40_2;588;372
29400;39.66;40_3;360;432
29400;49.11;41.3_0;456;336
29400;49.16;41.3_1;372;420
29400;20.49;41.3_2;828;828
29400;8.72;41.3_3;408;372
29400;89.26;42.0_0;300;252
29400;84.53;42.0_1;384;324
29400;75.87;42.0_2;276;324
29400;75.83;42.0_3;408;408
29400;14.4;43[0].45_0;444;336
29400;11.63;43[0].45_1;408;396
29400;7.94;44_0;204;204
29400;1.32;44_1;0;60
29400;3.91;44_2;180;120
29400;16.36;45[0].5_0;672;648
29400;11.02;45[0].5_1;492;516
29400;13.68;45[1]_0;660;588
29400;12.3;45[1]_1;528;552
29400;18.23;46_0;600;744
29400;3.17;46_1;240;132
29400;16.44;47_0;552;384
29400;3.11;47_1;0;156
29400;22.85;48_0;348;372
29400;10.98;48_1;456;408
29400;;48_2;0;0
29400;1.03;49[0]_0;36;60
29400;3.87;49[0]_1;168;156
29400;2.95;49[0]_2;132;132
29400;1.49;49[1]_0;96;48
29400;3.89;49[1]_1;168;168
29400;3.28;49[1]_2;120;180
29400;36.87;5_0;180;288
29400;59.72;5_1;264;84
29400;4.67;50[0].15_0;48;276
29400;1.41;50[0].15_1;240;0
29400;7.24;50[1]_0;240;252
29400;;50[1]_1;0;0
29400;6.36;51_0;240;240
29400;0.32;51_1;0;12
29400;34.17;52_0;36;240
29400;5.52;52_1;312;204
29400;1.51;52_2;84;24
29400;13.21;53.4_0;504;540
29400;16.08;53.4_1;780;660
29400;6.51;53.4_2;264;300
29400;13.28;54[0]_0;612;540
29400;2.97;54[0]_1;132;192
29400;14.54;54[1]_0;528;288
29400;10.62;54[1]_1;192;408
29400;3.77;55[0]_0;168;168
29400;9.45;55[0]_1;420;420
29400;1.98;55[0]_2;96;96
29400;0.25;55[1]_0;144;0
29400;13.4;55[1]_1;504;612
29400;2.61;55[1]_2;108;132
29400;1.9;56.0.16_0;36;108
29400;0.8;56.0.16_1;72;12
29400;1.51;57_0;24;60
29400;5;57_1;132;144
29400;5.69;58_0;276;180
29400;2.28;58_1;36;132
29400;0.3;59_0;60;24
29400;1.36;59_1;84;24
29400;1.76;59_2;0;108
29400;7.54;6_0;264;168
29400;7.28;6_1;192;264
29400;5.33;6_2;84;228
29400;3.1;6_3;48;144
29400;2.01;6_4;228;60
29400;18.2;60_0;180;180
29400;1.16;61_0;24;84
29400;0.95;61_1;60;0
29400;1.77;62_0;84;72
29400;0.36;63_0;12;36
29400;0.94;64_0;24;24
29400;2.11;66.10_0;96;96
29400;1.08;66.10_1;48;48
29400;7.45;67.1_0;288;168
29400;1.98;67.1_1;24;108
29400;0.41;68_0;36;0
29400;0.4;68_1;0;36
29400;;69_0;0;0
29400;0.99;69_1;36;36
29400;6.75;7.0.20_0;120;300
29400;8.76;7.0.20_1;0;216
29400;16.58;7.0.20_2;72;0
29400;45.64;7.0.20_3;396;0
29400;40.49;7.0.20_4;144;0
29400;1.77;70_0;72;84
29400;2.01;71_0;72;36
29400;2.85;72_0;144;132
29400;1.9;73_0;0;132
29400;1.3;73_1;144;12
29400;;74_0;0;0
29400;;74_1;0;0
29400;3.9;75_0;144;204
29400;2.67;75_1;144;84
29400;;75_2;0;0
29400;5.15;76_0;168;192
29400;1.98;76_1;168;120
29400;3.88;77_0;120;120
29400;0.56;77_1;24;24
29400;0.28;78_0;12;12
29400;13.09;78_1;456;456
29400;3.43;79_0;108;156
29400;1.59;79_1;120;60
29400;1.98;8.0.2.13_0;204;24
29400;5.69;8.0.2.13_1;228;156
29400;10.04;8.0.2.13_2;228;504
29400;8.93;8.0.2.13_3;288;396
29400;4.04;80_0;216;96
29400;9.87;80_1;204;324
29400;1.26;81_0;12;72
29400;2.56;81_1;156;96
29400;1.39;81_2;60;48
29400;3.78;82_0;72;108
29400;2.83;82_1;108;60
29400;2.64;82_2;48;72
29400;0.25;83_0;12;12
29400;6.81;83_1;324;216
29400;3.38;83_2;84;204
29400;0.74;84_0;360;12
29400;7.73;84_1;24;336
29400;0.73;84_2;24;72
29400;8.14;85_0;216;252
29400;5.75;85_1;96;216
29400;4.81;85_2;228;108
29400;5.49;86[0]_0;204;252
29400;2.97;86[0]_1;192;120
29400;4.72;86[0]_2;180;204
29400;8.25;86[1][1]_0;240;180
29400;5.64;86[1][1]_1;120;144
29400;13.95;86[1][1]_2;204;192
29400;10.31;87_0;276;264
29400;4.16;87_1;168;192
29400;1.98;88_0;36;36
29400;;88_1;0;0
29400;6.2;9_0;24;0
29400;28.68;9_1;180;120
29400;55.02;9_2;504;396
29400;74.3;9_3;372;312
29400;4.61;90_0;132;180
29400;1.79;90_1;60;84
29400;7.77;91_0;192;156
29400;5.67;91_1;216;144
29400;2.7;92_0;156;96
29400;3.8;92_1;168;168
29400;0.11;93_0;60;0
29400;4.22;93_1;144;192
29400;4.94;93_2;192;216
29400;4.88;94_0;96;96
29400;4.6;94_1;96;72
29400;9.98;94_2;72;108
29400;2.13;95_0;96;72
29400;0.02;95_1;0;12
29400;1.86;96_0;72;36
29400;0.55;96_1;12;36
29400;3.54;97_0;192;132
29400;0.47;97_1;0;36
29400;10.73;98_0;228;168
29400;2.78;98_1;36;108
29400;0.67;99_0;24;24
29400;27.32;E0_0;1140;192
29400;64.16;E0_1;0;276
29400;61.59;E0_2;0;480
29400;10.34;E0.221_0;264;240
29400;7.44;E0.221_1;228;276
29400;6.84;E1_0;300;264
29400;1.02;E1_1;24;72
29400;2.84;E10_0;132;132
29400;;E10_1;0;0
29400;20.53;E11_0;72;72
29400;;E11_1;0;0
29400;5.34;E12_0;24;24
29400;2.69;E12_1;12;12
29400;4.5;E13_0;144;156
29400;1.34;E13_1;48;48
29400;;E15_0;0;0
29400;7.83;E18_0;312;312
29400;2.2;E18_1;96;84
29400;18.14;E19_0;516;516
29400;20.9;E19_1;636;600
29400;9.7;E19_2;312;348
29400;19.23;E2_0;1044;732
29400;3.72;E2_1;0;264
29400;17.68;E2.444_0;720;744
29400;9.13;E2.444_1;444;468
29400;1.66;E20_0;36;36
29400;1.59;E21_0;24;24
29400;26.41;E3_0;2028;1104
29400;21.88;E3_1;0;864
29400;3.95;E4.10_0;156;156
29400;13.68;E4.24_0;168;180
29400;8.39;E5_0;252;228
29400;0.17;E5_1;0;24
29400;40.8;E6_0;168;168
29400;65.41;E6_1;276;276
29400;54.13;E6_2;216;216
29400;0.42;E7.29_0;12;24
29400;0.29;E7.9_0;12;12
29400;0.58;E8_0;24;24
29400;1.05;E8_1;48;48
29400;1.4;E8.39_0;72;60
29400;154.64;gneE10_0;84;84
29400;124.49;gneE10_1;156;180
29400;80.63;gneE10_2;444;420
29400;47.47;gneE126_0;360;252
29400;68.95;gneE126_1;408;528
29400;;gneE138_0;0;0
29400;7.91;gneE138_1;324;348
29400;2.7;gneE138_2;120;96
29400;37.32;gneE140_0;324;312
29400;35.88;gneE140_1;348;384
29400;17.67;gneE141_0;840;744
29400;9.13;gneE141_1;372;444
29400;73.74;gneE142_0;336;288
29400;65.86;gneE142_1;408;408
29400;42.6;gneE143_0;336;312
29400;30.98;gneE143_1;336;348
29400;1.03;gneE144_0;36;48
29400;10.27;gneE147_0;36;36
29400;4.5;gneE148_0;168;180
29400;1.72;gneE148_1;84;72
29400;;gneE148_2;0;0
29400;75.1;gneE150_0;264;276
29400;65.3;gneE150_1;348;324
29400;22.89;gneE151_0;252;276
29400;19.22;gneE151_1;348;336
29400;6.75;gneE153_0;60;60
29400;19.24;gneE153_1;696;648
29400;11.46;gneE153_2;432;468
29400;31.33;gneE154_0;648;648
29400;18.14;gneE154_1;480;480
29400;1.4;gneE155_0;60;60
29400;1.32;gneE156_0;48;48
29400;0.71;gneE157_0;12;12
