,0
4.72540130132218,106.90357960052651
10.097379103659843,181.7239171075135
13.062162909461298,175.25740866624986
15.58426354757659,162.300318235228
17.63545799136477,139.45295062165138
18.794070785132718,115.75679124624321
19.724156239261657,97.40849638116204
20.901324287409953,85.045176183767
22.409790483178607,77.3014400286144
23.978334342428948,66.74413301460953
24.985791927513734,49.20807996284408
26.199959971624644,44.469102532393876
26.68559419460701,33.73532524681093
27.24170274164981,32.927447392196655
27.386268093815488,37.237097955500815
27.754513453146732,40.971875913083174
28.4790899297884,29.380868742398093
29.21165044636962,25.345798568255447
29.659968432177802,18.417750354167875
29.864526629209713,14.897226260432486
29.960148680988056,13.781406700793962
30.04042128859393,12.685161254434739
30.083227301777317,12.001083812111698
30.108014334491756,12.734574294213694
