step,step_time,reward,total_stopped,total_exponential_reward,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_1_stopped,tl_1_accumulated_waiting_time,tl_1_average_speed,tl_10_stopped,tl_10_accumulated_waiting_time,tl_10_average_speed,tl_11_stopped,tl_11_accumulated_waiting_time,tl_11_average_speed,tl_12_stopped,tl_12_accumulated_waiting_time,tl_12_average_speed,tl_13_stopped,tl_13_accumulated_waiting_time,tl_13_average_speed,tl_14_stopped,tl_14_accumulated_waiting_time,tl_14_average_speed,tl_15_stopped,tl_15_accumulated_waiting_time,tl_15_average_speed,tl_16_stopped,tl_16_accumulated_waiting_time,tl_16_average_speed,tl_17_stopped,tl_17_accumulated_waiting_time,tl_17_average_speed,tl_18_stopped,tl_18_accumulated_waiting_time,tl_18_average_speed,tl_19_stopped,tl_19_accumulated_waiting_time,tl_19_average_speed,tl_2_stopped,tl_2_accumulated_waiting_time,tl_2_average_speed,tl_20_stopped,tl_20_accumulated_waiting_time,tl_20_average_speed,tl_21_stopped,tl_21_accumulated_waiting_time,tl_21_average_speed,tl_22_stopped,tl_22_accumulated_waiting_time,tl_22_average_speed,tl_23_stopped,tl_23_accumulated_waiting_time,tl_23_average_speed,tl_24_stopped,tl_24_accumulated_waiting_time,tl_24_average_speed,tl_25_stopped,tl_25_accumulated_waiting_time,tl_25_average_speed,tl_26_stopped,tl_26_accumulated_waiting_time,tl_26_average_speed,tl_27_stopped,tl_27_accumulated_waiting_time,tl_27_average_speed,tl_28_stopped,tl_28_accumulated_waiting_time,tl_28_average_speed,tl_29_stopped,tl_29_accumulated_waiting_time,tl_29_average_speed,tl_3_stopped,tl_3_accumulated_waiting_time,tl_3_average_speed,tl_30_stopped,tl_30_accumulated_waiting_time,tl_30_average_speed,tl_31_stopped,tl_31_accumulated_waiting_time,tl_31_average_speed,tl_4_stopped,tl_4_accumulated_waiting_time,tl_4_average_speed,tl_5_stopped,tl_5_accumulated_waiting_time,tl_5_average_speed,tl_6_stopped,tl_6_accumulated_waiting_time,tl_6_average_speed,tl_7_stopped,tl_7_accumulated_waiting_time,tl_7_average_speed,tl_8_stopped,tl_8_accumulated_waiting_time,tl_8_average_speed,tl_9_stopped,tl_9_accumulated_waiting_time,tl_9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
28805.0,28805.0,-1.2690117017652525,9,-5.723482676418355,11,0.0,0.0,3.641153846153846,2,0.0,0.251890223886,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.3552735873147679,0,0.0,1.0,0,0.0,0.2692514264496945,1,0.0,0.49314933590134463,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,1,0.0,0.3765965232516992,0,0.0,1.0,0,0.0,1.0,0,0.0,0.29991431019708653,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,9,0.0
28810.0,28810.0,-1.2732254749012675,5,-3.2279391126492474,9,2.0,0.03571428571428571,8.756168544688373,2,1.0,0.6547494250127065,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.6499571550985432,0,0.0,1.0,0,0.0,0.8572776379623642,0,0.0,0.828536399127138,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.7148344909168073,0,0.0,0.2522927076114053,0,0.0,1.0,1,0.0,0.5638500141399619,0,0.0,1.0,0,0.0,0.7447867059861867,0,0.0,1.0,0,0.0,0.7221686620487087,0,0.0,1.0,0,0.0,1.0,5,1.0
28815.0,28815.0,-0.012641319408044836,3,-1.9879227111047821,4,0.0,0.0,10.362677917201932,0,1.0,0.8464847144909067,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.2653728389044884,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7970250024419978,0,0.0,1.0,1,0.0,0.7399314481576692,0,0.0,0.8381752788907796,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.38356551343061424,0,0.0,1.0,1,0.0,0.6902467236396288,0,0.0,0.7768408565780929,0,0.0,1.0,0,0.0,0.8702303947930746,0,0.0,1.0,0,0.0,0.9395995355002894,0,0.0,1.0,0,0.0,0.9604081634083851,0,0.0,1.0,0,0.0,1.0,3,1.0
28820.0,28820.0,-0.6489756513726175,4,-2.654799360787443,6,4.0,0.038834951456310676,10.477740444125129,1,1.0,0.8335024822734836,0,0.0,1.0,0,0.0,0.7425944044726407,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.88814757722657,0,0.0,1.0,2,5.0,0.5226742114354349,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7466034591295578,0,0.0,1.0,0,0.0,0.7615598039029068,0,0.0,0.7666381033990288,0,0.0,1.0,0,0.0,0.852688044954711,0,0.0,1.0,0,0.0,0.8691117884996513,0,0.0,1.0,1,0.0,0.7757353179505418,0,0.0,1.0,0,0.0,1.0,4,6.0
28825.0,28825.0,-2.5522147985344352,10,-6.476287639673948,14,22.0,0.16176470588235295,9.888740363695739,4,6.0,0.6900477026372828,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.891579633430165,0,0.0,1.0,3,14.0,0.46355141436836694,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.6653908394421655,0,1.0,1.0,1,2.0,0.7424287686179272,0,0.0,1.0,0,0.0,1.0,1,0.0,0.7528665851658717,0,0.0,1.0,0,0.0,0.6681242495465773,0,0.0,1.0,0,0.0,0.9600873481201143,0,0.0,1.0,0,0.0,1.0,10,23.0
28830.0,28830.0,-1.2729397846300192,6,-3.9247689276510593,11,24.0,0.15,9.558919073759885,2,1.0,0.7752583943237705,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9385255577863046,0,0.0,1.0,0,2.0,0.5205183585313176,0,0.0,1.0,0,0.0,1.0,2,1.0,0.5871892711134966,0,0.0,1.0,0,0.0,0.46953702033429323,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4498714652956298,2,5.0,0.5151332134133242,0,1.0,1.0,0,5.0,0.6704911339869439,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6714775854657862,0,0.0,1.0,0,0.0,0.7876409366869037,0,0.0,1.0,0,0.0,0.874888846908892,0,0.0,1.0,0,0.0,1.0,6,17.0
28835.0,28835.0,-0.6387763211009361,10,-6.474952567146888,15,61.0,0.324468085106383,9.863174844560007,1,2.0,0.8564736045112955,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9691884337223147,0,0.0,1.0,0,2.0,0.9715320926214559,0,0.0,1.0,0,0.0,1.0,2,11.0,0.4599212874137497,0,0.0,1.0,1,1.0,0.6051511172875763,0,0.0,0.5704323337092776,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.0,2,15.0,0.3287075146582263,0,1.0,1.0,1,8.0,0.8179021683580385,0,0.0,0.7490716419951301,0,0.0,1.0,1,0.0,0.8241149355984757,0,0.0,1.0,0,0.0,0.7170599999554086,0,0.0,1.0,1,4.0,0.9036900365651975,0,0.0,1.0,0,0.0,1.0,10,47.0
28840.0,28840.0,-1.2934176398698285,15,-9.693460513052502,19,119.0,0.54337899543379,9.612234397219623,2,6.0,0.7898036237463695,0,0.0,1.0,0,0.0,0.7047460829451199,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,3.0,0.8160213424377931,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,26.0,0.4712628992710769,0,0.0,1.0,1,4.0,0.6564152175101238,1,0.0,0.5116520630434331,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,6.0,0.0,3,25.0,0.21322067130956388,0,1.0,0.9409647228221744,2,14.0,0.7017743043314132,0,0.0,0.9242169270581165,0,0.0,1.0,0,0.0,0.8543355836692368,0,0.0,1.0,1,0.0,0.6734996926370084,0,0.0,1.0,0,2.0,0.9858013314812163,0,0.0,1.0,0,0.0,1.0,15,87.0
