step,step_time,reward,total_stopped,total_exponential_reward,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_1_stopped,tl_1_accumulated_waiting_time,tl_1_average_speed,tl_10_stopped,tl_10_accumulated_waiting_time,tl_10_average_speed,tl_11_stopped,tl_11_accumulated_waiting_time,tl_11_average_speed,tl_12_stopped,tl_12_accumulated_waiting_time,tl_12_average_speed,tl_13_stopped,tl_13_accumulated_waiting_time,tl_13_average_speed,tl_14_stopped,tl_14_accumulated_waiting_time,tl_14_average_speed,tl_15_stopped,tl_15_accumulated_waiting_time,tl_15_average_speed,tl_16_stopped,tl_16_accumulated_waiting_time,tl_16_average_speed,tl_17_stopped,tl_17_accumulated_waiting_time,tl_17_average_speed,tl_18_stopped,tl_18_accumulated_waiting_time,tl_18_average_speed,tl_19_stopped,tl_19_accumulated_waiting_time,tl_19_average_speed,tl_2_stopped,tl_2_accumulated_waiting_time,tl_2_average_speed,tl_20_stopped,tl_20_accumulated_waiting_time,tl_20_average_speed,tl_21_stopped,tl_21_accumulated_waiting_time,tl_21_average_speed,tl_22_stopped,tl_22_accumulated_waiting_time,tl_22_average_speed,tl_23_stopped,tl_23_accumulated_waiting_time,tl_23_average_speed,tl_24_stopped,tl_24_accumulated_waiting_time,tl_24_average_speed,tl_25_stopped,tl_25_accumulated_waiting_time,tl_25_average_speed,tl_26_stopped,tl_26_accumulated_waiting_time,tl_26_average_speed,tl_27_stopped,tl_27_accumulated_waiting_time,tl_27_average_speed,tl_28_stopped,tl_28_accumulated_waiting_time,tl_28_average_speed,tl_29_stopped,tl_29_accumulated_waiting_time,tl_29_average_speed,tl_3_stopped,tl_3_accumulated_waiting_time,tl_3_average_speed,tl_30_stopped,tl_30_accumulated_waiting_time,tl_30_average_speed,tl_31_stopped,tl_31_accumulated_waiting_time,tl_31_average_speed,tl_4_stopped,tl_4_accumulated_waiting_time,tl_4_average_speed,tl_5_stopped,tl_5_accumulated_waiting_time,tl_5_average_speed,tl_6_stopped,tl_6_accumulated_waiting_time,tl_6_average_speed,tl_7_stopped,tl_7_accumulated_waiting_time,tl_7_average_speed,tl_8_stopped,tl_8_accumulated_waiting_time,tl_8_average_speed,tl_9_stopped,tl_9_accumulated_waiting_time,tl_9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
28805.0,28805.0,-1.2690117017652525,9,-5.723482676418355,11,0.0,0.0,3.641153846153846,2,0.0,0.2698929627714136,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.3641320963768445,0,0.0,1.0,0,0.0,0.2880365565175351,1,0.0,0.5146118993464879,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,1,0.0,0.35754349519557876,0,0.0,1.0,0,0.0,1.0,0,0.0,0.29991431019708653,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,9,0.0
28810.0,28810.0,-1.2732254749012675,5,-3.2279391126492474,9,2.0,0.03571428571428571,8.725956906482761,2,1.0,0.6461695865361724,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.6499571550985432,0,0.0,1.0,0,0.0,0.8866038274778635,0,0.0,0.8550191160496867,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.6581183076127867,0,0.0,0.23471903007877612,0,0.0,1.0,1,0.0,0.5821136937980536,0,0.0,1.0,0,0.0,0.737329421387855,0,0.0,1.0,0,0.0,0.7882228338145767,0,0.0,1.0,0,0.0,1.0,5,1.0
28815.0,28815.0,-0.6453186892087247,3,-1.987283632859131,5,0.0,0.0,10.005876452958962,1,1.0,0.7829890672730699,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.22693098327143138,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8067499189776998,0,0.0,1.0,1,0.0,0.7365641784627633,0,0.0,0.7754953917854195,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.3480149063760098,0,0.0,1.0,0,0.0,0.7550550604704741,0,0.0,0.7841693165735303,0,0.0,1.0,0,0.0,0.8796545559843375,0,0.0,1.0,0,0.0,0.9261166703661221,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1.0
28820.0,28820.0,-1.2816530211732973,5,-3.283563151275552,6,3.0,0.02912621359223301,10.621885817457239,2,1.0,0.8084008806762921,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8886787400688406,0,0.0,1.0,2,4.0,0.5289146227984904,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7549271636675235,0,0.0,1.0,0,1.0,0.7782491882890236,0,0.0,0.7666381033990288,0,0.0,1.0,0,0.0,0.9089079365894079,0,0.0,1.0,0,0.0,0.8415626984045723,0,0.0,1.0,1,0.0,0.8,0,0.0,1.0,0,0.0,1.0,5,6.0
28825.0,28825.0,-1.9200942397058773,9,-5.848006375133477,12,24.0,0.17777777777777778,9.690843947242769,3,6.0,0.6918095391030713,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.886561153044216,0,0.0,1.0,3,13.0,0.4449863573822004,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.5431846095786574,0,0.0,1.0,1,1.0,0.7669894686355482,0,0.0,1.0,0,0.0,1.0,1,0.0,0.7384824797012972,0,0.0,1.0,0,0.0,0.5939756200594644,0,0.0,1.0,0,0.0,0.9390719919020795,0,0.0,1.0,0,0.0,1.0,9,20.0
28830.0,28830.0,-1.2729397846300192,14,-9.011218206880958,17,46.0,0.2822085889570552,9.298105834946112,2,2.0,0.7910675740335902,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,1.0,0.600842854674344,0,0.0,1.0,3,26.0,0.36670331920998384,0,0.0,1.0,1,3.0,0.5,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4677475158658375,1,4.0,0.538187808820642,0,0.0,1.0,1,4.0,0.7983722526489931,1,3.0,0.5688014862273988,0,0.0,1.0,3,8.0,0.5301272315617371,0,0.0,1.0,0,0.0,0.716854582249205,0,0.0,1.0,0,0.0,0.8888257482166456,0,0.0,1.0,0,0.0,1.0,14,51.0
28835.0,28835.0,-0.6381875191950729,14,-9.035516338922047,16,67.0,0.3544973544973545,9.52142467601194,1,3.0,0.8494519124738444,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.5205183585313176,0,0.0,1.0,0,0.0,1.0,2,12.0,0.463963321051868,0,0.0,1.0,1,6.0,0.4326142829116122,0,0.0,0.5623393316195373,1,8.0,0.5,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,15.0,0.28285308827502476,0,0.0,0.9380849532037436,1,7.0,0.8227429812021472,1,8.0,0.46171620374299743,0,0.0,1.0,3,23.0,0.4980022577029948,0,0.0,1.0,1,1.0,0.31491728655813456,0,0.0,1.0,1,4.0,0.9070664269120724,0,0.0,1.0,0,0.0,1.0,14,89.0
28840.0,28840.0,-1.2701877207031491,13,-8.443701864507094,16,54.0,0.242152466367713,9.806011740856366,2,3.0,0.8309118696850039,0,0.0,1.0,0,0.0,0.66753709087674,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,8.0,0.6866279196668641,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,1.0,0.5171505061099162,0,0.0,1.0,0,1.0,0.6061717949064327,1,0.0,0.4935503810103136,1,13.0,0.5,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,24.0,0.1411360196558605,0,0.0,0.9889962373490004,2,13.0,0.6546628020421542,0,0.0,0.7696800813963779,0,0.0,1.0,1,2.0,0.5977443764689649,0,0.0,1.0,2,14.0,0.476914028751506,0,0.0,1.0,0,4.0,0.9886476006794092,0,0.0,1.0,0,0.0,1.0,13,83.0
