,0
4.683910151258176,107.24241174512574
9.692697970663492,176.25738414290709
13.2318042024934,171.71873071964322
15.931721551352597,161.04510769784704
17.45248845832809,141.96467352702157
18.654526819863733,112.46108190407577
20.47310428581293,98.87974081817633
21.5804636945372,92.40244629313199
21.585691594145807,90.59886720101619
21.83205172152363,82.41527828161936
22.19366801091462,78.54577476266927
22.554997916263495,82.5920912818619
23.572255619658435,85.20709035625524
24.697500800746873,72.8877318390442
25.50021176952958,61.254796033080105
25.988131016256222,74.47207673533282
26.725233711939794,78.90485391714019
27.968795308744337,73.45534792791204
28.739165052711673,85.05016369331099
29.241953421051058,73.42687991607023
29.860496937124182,67.76089501826223
30.639422899209265,65.81177467354784
31.181523212838915,69.89844255840659
31.290267951909073,67.92959109120784
