step,step_time,reward,total_stopped,total_pressure2,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_1_stopped,tl_1_accumulated_waiting_time,tl_1_average_speed,tl_10_stopped,tl_10_accumulated_waiting_time,tl_10_average_speed,tl_11_stopped,tl_11_accumulated_waiting_time,tl_11_average_speed,tl_12_stopped,tl_12_accumulated_waiting_time,tl_12_average_speed,tl_13_stopped,tl_13_accumulated_waiting_time,tl_13_average_speed,tl_14_stopped,tl_14_accumulated_waiting_time,tl_14_average_speed,tl_15_stopped,tl_15_accumulated_waiting_time,tl_15_average_speed,tl_16_stopped,tl_16_accumulated_waiting_time,tl_16_average_speed,tl_17_stopped,tl_17_accumulated_waiting_time,tl_17_average_speed,tl_18_stopped,tl_18_accumulated_waiting_time,tl_18_average_speed,tl_19_stopped,tl_19_accumulated_waiting_time,tl_19_average_speed,tl_2_stopped,tl_2_accumulated_waiting_time,tl_2_average_speed,tl_20_stopped,tl_20_accumulated_waiting_time,tl_20_average_speed,tl_21_stopped,tl_21_accumulated_waiting_time,tl_21_average_speed,tl_22_stopped,tl_22_accumulated_waiting_time,tl_22_average_speed,tl_23_stopped,tl_23_accumulated_waiting_time,tl_23_average_speed,tl_24_stopped,tl_24_accumulated_waiting_time,tl_24_average_speed,tl_25_stopped,tl_25_accumulated_waiting_time,tl_25_average_speed,tl_26_stopped,tl_26_accumulated_waiting_time,tl_26_average_speed,tl_27_stopped,tl_27_accumulated_waiting_time,tl_27_average_speed,tl_28_stopped,tl_28_accumulated_waiting_time,tl_28_average_speed,tl_29_stopped,tl_29_accumulated_waiting_time,tl_29_average_speed,tl_3_stopped,tl_3_accumulated_waiting_time,tl_3_average_speed,tl_30_stopped,tl_30_accumulated_waiting_time,tl_30_average_speed,tl_31_stopped,tl_31_accumulated_waiting_time,tl_31_average_speed,tl_4_stopped,tl_4_accumulated_waiting_time,tl_4_average_speed,tl_5_stopped,tl_5_accumulated_waiting_time,tl_5_average_speed,tl_6_stopped,tl_6_accumulated_waiting_time,tl_6_average_speed,tl_7_stopped,tl_7_accumulated_waiting_time,tl_7_average_speed,tl_8_stopped,tl_8_accumulated_waiting_time,tl_8_average_speed,tl_9_stopped,tl_9_accumulated_waiting_time,tl_9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
28805.0,28805.0,-1.2690117017652525,9,0.09350249867674969,11,0.0,0.0,3.641153846153846,2,0.0,0.24074412593075717,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.4324596824016092,0,0.0,1.0,0,0.0,0.24963328869890128,1,0.0,0.5105156570071167,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,1,0.0,0.404105852382959,0,0.0,1.0,0,0.0,1.0,0,0.0,0.29991431019708653,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,9,0.0
28810.0,28810.0,-1.2732254749012675,5,0.18303909099143784,7,1.0,0.01818181818181818,8.963094973874242,2,1.0,0.6460986055628637,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.6499571550985432,0,0.0,1.0,0,0.0,0.8618707716775768,0,0.0,0.8327062051879928,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.6721470965556927,0,0.0,0.23637883828580766,0,0.0,1.0,1,0.0,0.5509675132291889,0,0.0,1.0,0,0.0,0.7521563510584119,0,0.0,1.0,0,0.0,0.7488958869906107,0,0.0,1.0,0,0.0,1.0,5,1.0
28815.0,28815.0,-0.012641319408044836,4,0.26645391934827967,6,7.0,0.08860759493670886,9.290503203981713,0,1.0,0.8374635736438564,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.2249357326478149,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6919779175236433,0,0.0,1.0,1,0.0,0.7399314481576692,2,7.0,0.07464551190319096,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.38171766701076687,0,0.0,1.0,0,1.0,0.531719829441826,0,0.0,0.7570436005433755,0,0.0,1.0,0,0.0,0.8562716779190955,0,0.0,1.0,0,0.0,0.9528342924185634,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,4,9.0
28820.0,28820.0,-1.2810962102011751,6,0.3241447729300841,8,17.0,0.16346153846153846,10.030729012538092,2,1.0,0.8281572754919747,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5205183585313174,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7693622042602309,0,0.0,1.0,1,0.0,0.5366821271692813,2,17.0,0.04171185704088138,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7549271636675235,0,0.0,1.0,0,3.0,0.7099515715126186,0,0.0,0.7666381033990288,0,0.0,1.0,0,0.0,0.8843780264085679,0,0.0,1.0,0,0.0,0.6019318829575572,0,0.0,1.0,1,0.0,0.795674503290756,0,0.0,1.0,0,0.0,1.0,6,21.0
28825.0,28825.0,-2.551657987562313,11,0.5203892592792538,12,39.0,0.291044776119403,9.479798435565153,4,7.0,0.7060431689603774,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.823305526992288,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7558183221221964,0,0.0,1.0,0,0.0,0.5959532094167702,2,27.0,0.02048818942890654,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,2.0,0.31483498840414,0,0.0,1.0,1,4.0,0.6714757620812808,0,0.0,1.0,0,0.0,1.0,1,0.0,0.7934614072661054,0,0.0,1.0,1,4.0,0.16832625285042474,0,0.0,1.0,0,0.0,0.9692301306651588,0,0.0,1.0,0,0.0,1.0,11,44.0
28830.0,28830.0,-3.191092470718656,11,0.4946927756620537,13,38.0,0.24050632911392406,9.625162034135627,5,22.0,0.6539760553633939,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9826891706228965,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.8153465537498992,0,0.0,1.0,1,1.0,0.48680314151822224,0,0.0,0.4021262253855391,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.49210007150214036,2,12.0,0.22122148237889835,0,0.0,1.0,1,5.0,0.796102384231638,0,0.0,1.0,0,0.0,1.0,1,0.0,0.7592305126935716,0,0.0,1.0,0,1.0,0.36294130269677394,0,0.0,1.0,0,0.0,0.8905848329048843,0,0.0,1.0,0,0.0,1.0,11,41.0
28835.0,28835.0,-0.6428057550489876,11,0.4499287940601944,14,52.0,0.27956989247311825,9.546012385287218,1,2.0,0.8119986827453751,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.984689186024707,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6103015173560377,0,0.0,1.0,4,15.0,0.31763500812759954,0,0.0,0.5805935246506158,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.0,2,21.0,0.20875748745415393,0,0.0,0.8761699064074873,1,12.0,0.5657510187135122,0,0.0,0.741862083441561,0,0.0,1.0,0,0.0,0.8295732966561269,0,0.0,1.0,1,1.0,0.677699365946679,0,0.0,1.0,1,0.0,0.8884765787186493,0,0.0,1.0,0,0.0,1.0,11,52.0
28840.0,28840.0,-0.6432741996343693,15,0.54377985159628,18,93.0,0.4305555555555556,9.584920826653692,1,2.0,0.8525540184414329,0,0.0,1.0,0,0.0,0.6842535141845499,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,2.0,0.8677061738419842,0,0.0,1.0,0,2.0,0.8401727861771059,0,0.0,1.0,0,0.0,1.0,2,14.0,0.38416052440184567,0,0.0,1.0,1,4.0,0.5583638118810368,1,0.0,0.5171654342531632,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,6.0,0.0,3,31.0,0.19569764547280474,0,0.0,0.8990377631315555,2,17.0,0.693586926470562,0,0.0,0.8363479890364898,0,0.0,1.0,1,5.0,0.760726333383212,0,0.0,1.0,2,4.0,0.5641527714391694,0,0.0,1.0,0,6.0,0.9981496969332958,0,0.0,1.0,0,0.0,1.0,15,93.0
